nom;rue;codePostal;ville;telephone;mail;
NEO DIGITAL;2 Rue Gambetta;27300;BERNAY;;;
NEO RAMA;6 bis rue Paul Gros;33270;FLOIRAC;05 57 300 910;;
NEXA;Hotel de région réunion Av René Cassin;97490;SAINT DENIS;;;
NOV IMPACT;;;;;;
NRJ;;;;;;
O'TEMPORA;48 rue Thiac;33000;BORDEAUX;05 56 81 01 11;;
OCEAN BLEU;;;;;;
ORANGE;;;;;;
PAPETERIE D'ARVOR;rue Didier Daurat;35136;SAINT JACQUES DE LA LANDE;;;
PARIS PIONNIERES;35 Rue du Sentier;75002;PARIS;;;
Pays Adour Landes Océnaes ;"270, route de Bayonne
";40230;SAINT VINCENT DE TYROSSE;06-37-51-83-97;delphine.empio@pays-adour-landes-oceanes.com;
PENSER BI;;;;;;
PEP 33;70 rue du château d'eau;33000;BORDEAUX;05 56 56 57 00;contact@lespep33.org;
PIX3LR;;;;;centrenumerique.pix3lr@gmail.com;
PLACE;rue des terres neuves, Bat 19;33130;BEGLES;05 56 31 29 28;place@place-reflex.org;
POLE EMPLOI LIBOURNE;33 chemin du casse;33500;LIBOURNE;05 57 55 48 31;;
POLLEN;;;;;;
POUEY INTERNATIONAL;57 Rue de Soissons;33000;BORDEAUX;;;
PREFECTURE NOUVELLE AQUITAINE;2 Esp Charles de Gaulle;33000;BORDEAUX;;;
PREMIERE BRIQUE;27bis Allées Maurice Sarraut;31300;TOULOUSE;;;
PULSALYS;domaine scientifique de la doua, Bat Marco Polo, 47 bvd du 11 novembre 1918, CS 90170;69625;VILLEURBANNE CEDEX;04 26 23 56 60;;
QUANDRANT CONSEIL;5 Rue Martel;75010;PARIS;;;
RASATOM;12 chemin du moulin;31470;SAIGUEDE;;;
REGIE DES QUARTIERS SAINTES;5 Bis avenue de Bellevue;17100;SAINTES;;direct.regiedequartier.saintes@gmail.com;
RESEAU ENTREPRENDRE AQUITAINE;Bâtiment Sud, Darwin Ecosystème Caserne Niel Le Campement, 87 Quai des Queyries,;33100;BORDEAUX;;;
RESSOURCES & SAVOIRS;115 boulevard de l’Europe;76100;ROUEN;;;
RQIS;1259 Berri,Local AC-8215;H2L4C7;MONTREAL QUEBEC;;;
RTES;Hotel de ville, BP 667;59033;LILLE CEDEX;;;
RUCHES D'ENTREPRISES NORD DE France;54-56 rue Jean Sans Peur, BP 1291;59014;LILLE CEDEX;03 20 17 27 66;;
SADEL;;;;;;
SALUTERRE;14 C, rue du Pâtis Tatelin;33220;SAINTE FOY LA GRANDE;;;
SATT AXLR;Métropolis 2 • CS 80;34090;MONTPELLIER;;;
SATT OUEST VALO;14 C, rue du Pâtis Tatelin Métropolis 2 • CS 804;35708;RENNES CEDEX;;;
SATT SUD EST;le silo, 35 quai du lazaret, CS 70545;13304;MARSEILLE CEDEX 03;;;
SAVEURS ET SAVOIRS;704 Avenue de la Gare;27610;ROMILLY SUR ANDELLE;;;
SCIENCES PO BORDEAUX;11 Allée Ausone;33600;PESSAC;;;
SENS ECO;;;;;;
SGAR33;4B esplanade charles de gaulle;33077;BORDEAUX CEDEX;05 56 90 65 04;;
SIE VAL DE SAINTONGE;55 Rue Michel Texier;17400;SAINT JEAN D'ANGELY;;;
SMICVAL;8 Route de la Pinière;33910;SAINT DENIS DE PILE;;;
SOCIAL PLANET;34 Av. Charles De Gaulle;92200;NEUILLY SUR SEINE;;;
SPN;;;;;;
SPORT PYRENEES EMPLOI - SPE;12 Rue du Professeur Garrigou-Lagrange;64000;PAU;;;
SUR LA RIVE DROITE;;;;;;
T2TI;;;;;;
TECHNOPOLE POITIERS;Grand Poitiers Communauté urbaine Place du Maréchal Leclerc - CS 10569;86021;POITIERS CEDEX;;;
TIERS LIEUX;;;;;;
TOPICS;;;;;;
TRALALERE ;;;;;;
UMANO;;;;;;
UMIHRA;8 rue castelnau d'Auros;33000;BORDEAUX;05 56 99 49 37;umihra@umihra.fr;
UNCCAS FORMATION;11 Rue Louise Thuliez;75019;PARIS;;;
UNEA;36 Rue du Chemin Vert;75011;PARIS;;;
UNION NATIONALE DES PIMMS;Immeuble Le gréement - 2, place André Latarjet;69008;LYON;;;
UNIPSO;Square Arthur Masson 1/7;5000;NAMUR;;;
UNIVERSITE AVIGNON ET PAYS VAUCLUSE;74, rue L. Pasteur - F;84019;AVIGNON CEDEX 01;;;
UNIVERSITE D'ANGERS;40 Rue de Rennes;49035;ANGERS;;;
UNIVERSITE DE BORDEAUX;16 avenue Léon Duguit CS 50057;33608;PESSAC CEDEX;;;
UNIVERSITE DE LIMOGES;33 Rue François Mitterrand;87032;LIMOGES;;;
UNIVERSITE DE NAMUR;Rue de Bruxelles 61;5000;NAMUR;;;
UNIVERSITE DE POITIERS;15 Rue de l'Hôtel Dieu;86000;POITIERS;;;
UNIVERSITE DE RENNES;2 rue du Thabor _ CS 46510;35042;RENNES;;;
UNIVERSITE LA ROCHELLE;23 Avenue Albert Einstein;17000;LA ROCHELLE;;;
UNIVERSITE LIBRE DE BRUXELLES;Avenue Franklin Roosevelt 50;1050;BRUXELLES;;;
UNIVERSITE PARIS 1;17, Rue de la Sorbonne;75005;PARIS;;;
UNIVERSITE SAINT LOUIS BRUXELLES;43 Boulevard du Jardin Botanique;1000;BRUXELLES;;;
UNIVERSITE SORBONNE;17, Rue de la Sorbonne;75005;PARIS;;;
UNIVERSITE TOURS;60 Rue du Plat d'Étain;37000;TOURS;;;
UP  ;;;;06 61 44 55 92;contact@up-gironde.fr;
UP (CHEQUE DEJEUNER);;;;;;
URBAN PRACTICES;3 cours Charlemagne;69002;LYON;04 27 46 90 64;;
URIOPSS ALSACE;80 Avenue du Neuhof;67100;STRASBOURG;;accueil@uriopss-alsace.asso.fr;
URSCOOP LANGUEDOC ROUSSILLON;55 Rue Saint-Cléophas,;34070;MONTPELLIER;;;
URSCOP AQUITAINE;162 Cours Marechal Gallieni;33400;TALENCE;;;
VANDERBERG;;;;;;
VEOLIA;ZAC La plaine, 22 avenue marcel dassault, BP 25873;31506;TOULOUSE CEDEX 5;05 61 34 78 81;;
VEOLIA INNOVE;40 rue letort;75018;PARIS;01 45 72 78 81;;
VERGER GOUTTE D'OR;Lieu-dit Sauvage;47160;SAINT LEON;;;
VERTIGO LAB;DARWIN Éco-Système 87, Quai des Queyries;33100;BORDEAUX;;;
VIENNE MOULIERE SOLIDARITE;3 chemin de la brunetterie;86800;SEVRES ANXAUMONT;;;
VILLE DE BORDEAUX;Place Pey Berland;33000;BORDEAUX;;;
VILLE DE MERIGNAC;60 avenue du Maréchal de lattre de Tassigny;33705;MERIGNAC CEDEX;05 56 18 88 53;;
VILLE DE NOISY LE GRAND;1, place de la Libération BP 49;93161;NOISY LE GRAND CEDEX;;;
VILLE DE THOUARE;6 Rue de Mauves;44470;THOUARE SUR LOIRE;;;
VILLES AU CARRE;4 Allee du plessis;37000;TOURS;;;
VITAMINE T;10 avenue des sports, CS 60500;59815;LESQUIN CEDEX;03 20 61 70 70;;
VIVA SIOULE CR EBREUIL;17 place de la gare;03450;EBREUIL;;;
WAKE UP DESIGN;;;;;info@wakupstudio.com;
WINETAILORS;4 Boulevard du 8 Mai 1945;24100;BERGERAC;05 53 22 85 15; ;
ROBOTS !;Place du 51ème Regiment d'Artillerie;44000;NANTES;;;
CGSCOP;30, rue des épinettes;75017;PARIS;01 44 85 47 00;;
